,dataset,checkpoint,id_median,ood_median,id_iqr,ood_iqr,noise_rate,ood_dataset,seed,scores_max,scores_min
69,cifar10,best.ckpt,17.112879,8.590776,4.626875400543213,2.916616439819336,0.0,eurosat,s0,20.34094,1.421318
70,cifar10,best.ckpt,18.233503,9.983195,5.619285345077515,5.250320315361023,0.0,imagenet6_test,s2,22.843534,1.500325
71,cifar10,best.ckpt,18.233503,9.585569,5.619285345077515,5.522747039794922,0.0,mnist,s2,22.843534,1.500325
72,cifar10,best.ckpt,18.233503,9.862925,5.619285345077515,3.994520425796509,0.0,svhn,s2,22.843534,1.500325
73,cifar10,best.ckpt,18.233503,8.7937,5.619285345077515,4.545046329498291,0.0,texture,s2,22.843534,1.500325
74,cifar10,best.ckpt,18.233503,9.856957,5.619285345077515,5.147602081298828,0.0,food101,s2,22.843534,1.500325
75,cifar10,best.ckpt,18.233503,9.368944,5.619285345077515,4.820237159729004,0.0,stanfordproducts,s2,22.843534,1.500325
76,cifar10,best.ckpt,18.233503,9.03203,5.619285345077515,3.5053789615631104,0.0,eurosat,s2,22.843534,1.500325
77,cifar10,best.ckpt,18.17361,10.335793,5.389124393463135,5.231001973152161,0.0,imagenet6_test,s20,22.678787,1.802974
78,cifar10,best.ckpt,18.17361,10.060316,5.389124393463135,5.064079523086548,0.0,mnist,s20,22.678787,1.802974
79,cifar10,best.ckpt,18.17361,10.435915,5.389124393463135,4.132240533828735,0.0,svhn,s20,22.678787,1.802974
80,cifar10,best.ckpt,18.17361,9.271957,5.389124393463135,4.563633561134338,0.0,texture,s20,22.678787,1.802974
81,cifar10,best.ckpt,18.17361,10.46682,5.389124393463135,5.123353958129883,0.0,food101,s20,22.678787,1.802974
82,cifar10,best.ckpt,18.17361,9.776071,5.389124393463135,4.878109455108643,0.0,stanfordproducts,s20,22.678787,1.802974
83,cifar10,best.ckpt,18.17361,8.837133,5.389124393463135,3.1205257177352905,0.0,eurosat,s20,22.678787,1.802974
